330,10.0
331,32.0
332,56.0
333,16.0
334,
335,8.0
336,2.0
337,79.0
338,
339,3.0
340,2.0
341,
342,1.0
343,11.0
344,46.0
345,155.0
346,9.0
347,7.0
348,111.0
349,8.0
350,2.0
351,2.0
352,10.0
353,148.0
354,5.0
355,2.0
356,13.0
357,3.0
358,7.0
359,
360,68.0
361,10.0
362,
363,13.0
364,1.0
365,44.0
366,45.0
367,1.0
368,10.0
369,
370,4.0
371,9.0
372,21.0
373,32.0
374,
375,3.0
376,2.0
377,1.0
378,4.0
379,
380,97.0
381,1.0
382,7.0
383,8.0
384,3.0
385,20.0
386,
387,36.0
388,14.0
389,90.0
390,2.0
391,15.0
392,2.0
393,5.0
394,15.0
395,155.0
396,1.0
397,5.0
398,1.0
399,15.0
400,5.0
401,159.0
402,8.0
403,1.0
404,
405,3.0
406,1.0
407,20.0
408,32.0
409,16.0
410,
411,76.0
412,11.0
413,39.0
414,6.0
415,2.0
416,8.0
417,1.0
418,
419,28.0
420,20.0
421,3.0
422,
423,3.0
424,
425,9.0
426,10.0
427,12.0
428,14.0
429,16.0
430,1.0
431,
432,97.0
433,91.0
434,3.0
435,2.0
436,97.0
437,
438,1.0
439,23.0
440,1.0
441,2.0
442,8.0
443,57.0
444,1.0
445,7.0
446,79.0
447,6.0
448,
449,11.0
450,4.0
451,15.0
452,
453,537.0
454,537.0
455,73.0
456,
457,36.0
458,8.0
459,8.0
460,12.0
461,
462,537.0
463,
464,22.0
465,3.0
466,91.0
467,
468,258.0
469,323.0
470,73.0
471,11.0
472,3.0
473,1.0
474,88.0
475,
476,16.0
477,
478,
479,2.0
480,7.0
481,11.0
482,29.0
483,7.0
484,4.0
485,3.0
486,4.0
487,47.0
488,9.0
489,4.0
490,1.0
491,58.0
492,15.0
493,493.0
494,3.0
495,43.0
496,21.0
497,44.0
498,159.0
499,5.0
500,
501,33.0
502,7.0
503,3.0
504,43.0
505,
506,13.0
507,3.0
508,1.0
509,
510,7.0
511,6.0
512,1.0
513,3.0
514,13.0
515,6.0
516,3.0
517,9.0
518,
519,31.0
520,258.0
521,4.0
522,56.0
523,36.0
524,
525,
526,79.0
527,2.0
528,
529,1.0
530,125.0
531,1.0
532,
533,5.0
534,7.0
535,7.0
536,1.0
537,5.0
538,2.0
539,1.0
540,74.0
541,5.0
542,148.0
543,3.0
544,38.0
545,2.0
546,
547,9.0
548,76.0
549,1.0
550,20.0
551,10.0
552,58.0
553,1.0
554,2.0
555,15.0
556,
557,15.0
558,125.0
559,32.0
560,16.0
561,
562,9.0
563,5.0
564,6.0
565,493.0
566,9.0
567,
568,3.0
569,8.0
570,
571,35.0
572,7.0
573,
574,10.0
575,
576,
577,17.0
578,1.0
579,56.0
580,10.0
581,35.0
582,2.0
583,21.0
584,16.0
585,1.0
586,
587,8.0
588,36.0
589,3.0
590,21.0
591,
592,16.0
593,14.0
594,24.0
595,
596,1.0
597,5.0
598,8.0
599,29.0
600,8.0
601,15.0
602,
603,43.0
604,10.0
605,5.0
606,22.0
607,
608,
609,
610,5.0
611,9.0
612,
613,9.0
614,1.0
615,4.0
616,
617,20.0
618,2.0
619,29.0
620,32.0
621,8.0
622,21.0
623,537.0
624,91.0
625,1.0
626,31.0
627,1.0
628,
629,2.0
630,3.0
631,31.0
632,5.0
633,5.0
634,29.0
635,16.0
636,
637,97.0
638,2.0
639,14.0
640,4.0
641,44.0
642,1.0
643,6.0
644,8.0
645,9.0
646,24.0
647,2.0
648,32.0
649,1.0
650,
651,16.0
652,56.0
653,14.0
654,7.0
655,1.0
656,45.0
657,4.0
658,19.0
659,2.0
660,37.0
661,32.0
662,3.0
663,11.0
664,2.0
665,
666,5.0
667,12.0
668,8.0
669,1.0
670,
671,3.0
672,6.0
673,14.0
674,36.0
675,2.0
676,7.0
677,2.0
678,14.0
679,1.0
680,5.0
681,25.0
682,
683,43.0
684,4.0
685,4.0
686,
687,1.0
688,2.0
689,15.0
690,22.0
691,9.0
692,79.0
693,27.0
694,56.0
695,7.0
696,18.0
697,14.0
698,323.0
699,2.0
700,18.0
701,1.0
702,2.0
703,
704,
705,1.0
706,2.0
707,37.0
708,
709,
710,5.0
711,6.0
712,11.0
713,2.0
714,
715,21.0
716,
717,3.0
718,5.0
719,7.0
720,1.0
721,3.0
722,
723,14.0
724,
725,11.0
726,60.0
727,2.0
728,36.0
729,40.0
730,19.0
731,2.0
732,13.0
733,
734,29.0
735,
736,6.0
737,2.0
738,1.0
739,
740,13.0
741,4.0
742,36.0
743,
744,4.0
745,
746,4.0
747,
748,37.0
749,5.0
750,32.0
751,24.0
752,91.0
753,111.0
754,2.0
755,12.0
756,10.0
757,24.0
758,3.0
759,
760,97.0
761,
762,36.0
763,16.0
764,
765,170.0
766,50.0
767,4.0
768,
769,68.0
770,4.0
771,
772,7.0
773,4.0
774,11.0
775,1.0
776,6.0
777,25.0
778,
779,16.0
780,
781,11.0
782,16.0
783,27.0
